88.80.180.50 - - [02/Nov/2015:14:27:44 +0100] "GET /js/jquery.js HTTP/1.1" 200 96072 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"
88.80.180.50 - - [02/Nov/2015:14:27:44 +0100] "GET /js/bootstrap.min.js HTTP/1.1" 200 35738 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"
88.80.180.50 - - [02/Nov/2015:14:27:44 +0100] "GET /js/jquery.easing.min.js HTTP/1.1" 200 5849 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"
88.80.180.50 - - [02/Nov/2015:14:27:44 +0100] "GET /js/jquery.fittext.js HTTP/1.1" 200 1358 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"
88.80.180.50 - - [02/Nov/2015:14:27:44 +0100] "GET /js/wow.min.js HTTP/1.1" 200 8467 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"
88.80.180.50 - - [02/Nov/2015:14:27:44 +0100] "GET /js/creative.js HTTP/1.1" 200 1555 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"
88.80.180.50 - - [02/Nov/2015:14:27:45 +0100] "GET /font-awesome/fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 200 71790 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"
88.80.180.50 - - [02/Nov/2015:14:27:45 +0100] "GET /img/haganotext.jpeg HTTP/1.1" 200 2344037 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"
88.80.180.50 - - [02/Nov/2015:14:27:46 +0100] "GET /img/400contactsfavicon.png HTTP/1.1" 200 1540 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"
88.80.180.50 - - [02/Nov/2015:14:32:26 +0100] "GET /img/haganotext.jpeg HTTP/1.1" 200 2344037 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"
88.80.180.50 - - [02/Nov/2015:14:32:56 +0100] "GET /img/haganotext.jpeg HTTP/1.1" 200 2344037 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"
88.80.180.50 - - [02/Nov/2015:14:34:10 +0100] "GET / HTTP/1.1" 200 14317 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)"
88.80.180.50 - - [02/Nov/2015:14:34:10 +0100] "GET /font-awesome/css/font-awesome.min.css HTTP/1.1" 200 24018 "http://400contacts.com/" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)"
88.80.180.50 - - [02/Nov/2015:14:34:10 +0100] "GET /css/bootstrap.min.css HTTP/1.1" 200 117431 "http://400contacts.com/" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)"
88.80.180.50 - - [02/Nov/2015:14:34:10 +0100] "GET /img/makersAcademyLogo.png HTTP/1.1" 200 9193 "http://400contacts.com/" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)"
88.80.180.50 - - [02/Nov/2015:14:34:10 +0100] "GET /css/creative.css HTTP/1.1" 200 9971 "http://400contacts.com/" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)"
88.80.180.50 - - [02/Nov/2015:14:34:10 +0100] "GET /js/bootstrap.min.js HTTP/1.1" 200 35738 "http://400contacts.com/" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)"
88.80.180.50 - - [02/Nov/2015:14:34:10 +0100] "GET /css/animate.min.css HTTP/1.1" 200 53872 "http://400contacts.com/" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)"
88.80.180.50 - - [02/Nov/2015:14:34:10 +0100] "GET /js/jquery.js HTTP/1.1" 200 96072 "http://400contacts.com/" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)"
88.80.180.50 - - [02/Nov/2015:14:34:10 +0100] "GET /js/jquery.fittext.js HTTP/1.1" 200 1358 "http://400contacts.com/" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)"
